#  telescope	date	JD	airmass	filter_obs	filter	constant
  FTN_FS	2011-10-09T05:51:28.416	55843.244	1.047	      dophot	  g  27.1213  gr 0.83368 | 0.417  0.0
  FTN_FS	2011-10-10T05:04:43.589	55844.212	1.115	      dophot	  g  27.1497  gr 0.70322 | 0.394  0.0
  FTN_FS	2011-10-12T05:03:14.429	55846.211	1.102	      dophot	  g  27.5262  gr 0.18987 | 0.348  0.0
  FTN_FS	2011-10-13T05:49:28.766	55847.243	1.034	      dophot	  g  27.4767  gr 0.23465 | 0.382  0.0
  FTN_FS	2011-10-14T05:12:21.316	55848.217	1.073	      dophot	  g  27.1817  gr 0.12975 | 0.730  0.0
  FTN_FS	2011-10-16T05:32:34.848	55850.231	1.038	      dophot	  g  27.3981  gr 0.29256 | 0.260  0.0
  FTN_FS	2011-10-17T06:14:48.874	55851.260	1.016	      dophot	  g  27.4728  gr 0.19980 | 0.100  0.0
  FTN_FS	2011-10-18T05:04:42.179	55852.212	1.061	      dophot	  g  27.4881  gr 0.21311 | 0.224  0.0
  FTN_FS	2011-10-19T06:02:23.995	55853.252	1.016	      dophot	  g  27.4879  gr 0.21265 | 0.218  0.0
  FTN_FS	2011-10-20T05:06:04.105	55854.213	1.049	      dophot	  g  27.3553  gr 0.12086 | 0.660  0.0
  FTN_FS	2011-10-23T08:35:12.234	55857.358	1.304	      dophot	  g  27.4493  gr 0.16462 | 0.762  0.0
  FTN_FS	2011-10-24T05:09:30.877	55858.215	1.031	      dophot	  g  27.4856  gr 0.16783 | 0.346  0.0
  FTN_FS	2011-10-25T05:58:12.480	55859.249	1.017	      dophot	  g  27.5686  gr 0.16841 | 0.179  0.0
  FTN_FS	2011-10-26T05:03:17.522	55860.211	1.030	      dophot	  g  27.3160  gr 0.16324 | 0.207  0.0
  FTN_FS	2011-10-27T05:27:26.724	55861.227	1.017	      dophot	  g  27.3145  gr 0.15738 | 0.190  0.0
  FTN_FS	2011-10-28T05:05:39.024	55862.212	1.023	      dophot	  g  25.6911  gr 0.15896 | 0.410  0.0
  FTN_FS	2011-04-18T14:15:57.443	55669.594	1.036	      dophot	  g  27.4206  gr 0.13383 | 0.873  0.0
  FTN_FS	2011-04-21T12:17:57.897	55672.512	1.014	      dophot	  g  27.4675  gr 0.09764 | 0.970  0.0
  FTN_FS	2011-04-24T12:19:09.482	55675.513	1.006	      dophot	  g  27.4678  gr 0.21695 | 0.709  0.0
  FTN_FS	2011-04-25T13:28:43.631	55676.562	1.017	      dophot	  g  26.9819  gr 0.11848 | 0.837  0.0
  FTN_FS	2011-04-26T14:45:20.723	55677.615	1.148	      dophot	  g  27.5436  gr 0.19303 | 0.639  0.0
  FTN_FS	2011-04-28T14:50:49.544	55679.619	1.186	      dophot	  g  27.4670  gr 0.14897 | 0.538  0.0
  FTN_FS	2011-04-30T14:04:07.400	55681.586	1.090	      dophot	  g  27.5352  gr 0.12973 | 0.483  0.0
  FTN_FS	2011-05-14T12:09:19.944	55695.506	1.014	      dophot	  g  27.5444  gr 0.12876 | 0.885  0.0
  FTN_FS	2011-05-15T12:04:48.049	55696.503	1.013	      dophot	  g  27.2466  gr 0.15344 | 0.886  0.0
  FTN_FS	2011-10-16T05:55:54.613	55850.247	2.293	      dophot	  g  26.7377  gr 0.25420 | 0.578  0.0
  FTN_FS	2011-12-29T15:45:52.792	55924.657	2.319	      dophot	  g  26.4358  gr 0.27749 | 0.498  0.0
  FTN_FS	2011-12-29T15:58:44.971	55924.666	2.099	      dophot	  g  26.6291  gr 0.12016 | 0.170  0.0
